"Tareas","Tipo","Título","Descripción / HU","Criterios de Aceptación","Est.","Prioridad","Depende de","Épica","Estado","Fase","Fecha de Inicio","Fecha Fin","Responsable"
"SP-003","Spike","Scoring de integridad","Algoritmo de correlación entre avance y código.","Documento con fórmula; Casos de prueba; Umbral alerta.","3 SP","Media","","EP-003","Por hacer","Fase 3: Analítica IA","","","jmenesess1@upao.edu.pe"
"RN-003","Requisito No Func.","Inmutabilidad de datos","Bloqueo de edición post-validación.","Firebase Rules (Update/Delete bloqueado); Log auditoría.","3 SP","Alta","TA-001","EP-005","Por hacer","Fase 2: Tracking y Base","","","jmenesess1@upao.edu.pe"
"RN-002","Requisito No Func.","Rendimiento dashboard","Lazy loading y caché.","Tests de carga; Carga < 2s.","3 SP","Media","HU-003","EP-005","Por hacer","Fase 2: Tracking y Base","","","jmenesess1@upao.edu.pe"
"HU-005","H. Usuario","Validación ciclo semanal","Calificar cumplimiento semanal.","Interfaz aprobación; Bloqueo edición; Historial validaciones.","5 SP","Alta","HU-004","EP-002","Listo","Fase 2: Tracking y Base","2026-05-28","2026-05-30","jmenesess1@upao.edu.pe"
"HU-009","H. Usuario","Gráfico de actividad de commits","Visualizar volumen diario de commits en barras interactiva.","Últimos 7 días; Alturas CSS relativas; Tooltips informativos.","3 SP","Media","HU-004","EP-002","Listo","Fase 2: Tracking y Base","2026-05-30","2026-05-30","jmenesess1@upao.edu.pe"
"HU-010","H. Usuario","Gatillo de análisis On-Demand","Permitir al docente forzar re-evaluación del repositorio del estudiante.","Botón en panel; Loader visual; Llama a endpoint de tracking.","2 SP","Media","HU-003","EP-002","Listo","Fase 2: Tracking y Base","2026-05-30","2026-05-30","jmenesess1@upao.edu.pe"
"HU-004","H. Usuario","Auditoría de evidencias","Acceso a repositorios y demos de cada grupo.","Links directos; Historial de commits; Actividad 7 días.","8 SP","Alta","EN-002, HU-003","EP-002","Listo","Fase 2: Tracking y Base","2026-05-28","2026-05-30","jmenesess1@upao.edu.pe"
"HU-003","H. Usuario","Panel de control ejecutivo","Semáforo de avance por grupos.","Semáforo (R/A/V); Filtros por proyecto; Carga < 2s.","13 SP","Crítica","TA-001","EP-002","Listo","Fase 2: Tracking y Base","2026-05-26","2026-05-28","jmenesess1@upao.edu.pe"
"EN-002","Habilitador","Integración GitHub API","Lectura automática de commits de alumnos.","Webhook/Polling cada 24h; Datos: autor/rama/fecha.","5 SP","Alta","TA-001","EP-002","Listo","Fase 2: Tracking y Base","2026-05-25","2026-05-27","jmenesess1@upao.edu.pe"
"TA-001","Tarea Técnica","Esquema BD (Firestore)","Diseñar colecciones para proyectos, hitos y evidencias.","Estructura en Firestore; Reglas de seguridad; Seed de datos.","8 SP","Alta","","EP-002","Listo","Fase 2: Tracking y Base","2026-05-20","2026-05-22","jmenesess1@upao.edu.pe"
"HU-002","H. Usuario","Revisión docente","Docente revisa plan pre-validado para dar VB.","Vista con anotaciones; Comentario docente; Notificación.","5 SP","Alta","HU-001","EP-001","Listo","Fase 1: MVP Core","2026-05-24","2026-05-27","jmenesess1@upao.edu.pe"
"RN-001","Requisito No Func.","Autenticación y roles","Firebase Auth (Google) con roles.","RLS/Security Rules por rol; Bloqueo sin sesión.","5 SP","Alta","TA-001","EP-005","Listo","Fase 1: MVP Core","2026-05-20","2026-05-23","jmenesess1@upao.edu.pe"
"HU-001","H. Usuario","Generación de roadmap técnico","Alumno ingresa idea y stack para recibir plan IA.","Formulario de entrada; Ejecución de agentes; Bloqueo tras aprobación.","8 SP","Alta","AG-002","EP-001","Listo","Fase 1: MVP Core","2026-05-20","2026-05-23","jmenesess1@upao.edu.pe"
"AG-002","Tarea Técnica","Agente Revisor (Validator)","Evalúa coherencia técnica y cobertura del sílabo.","Emite score (0-100); Genera observaciones para docente.","8 SP","Crítica","AG-001","EP-001","Listo","Fase 1: MVP Core","2026-05-18","2026-05-20","jmenesess1@upao.edu.pe"
"AG-001","Tarea Técnica","Agente Planificador (Drafter)","Agente que genera roadmap de 16 semanas.","Salida JSON estructurado; Tiempo < 30s.","8 SP","Crítica","SP-001, EN-001","EP-001","Listo","Fase 1: MVP Core","2026-05-15","2026-05-18","jmenesess1@upao.edu.pe"
"RN-004","Requisito No Func.","Manejo de errores IA","Gestión de fallos API LLM (Gemini/Claude).","Mock fallback en caso de error o sin keys.","3 SP","Alta","EN-001","EP-005","Listo","Fase 1: MVP Core","2026-05-12","2026-05-15","jmenesess1@upao.edu.pe"
"EN-001","Habilitador","Conector LLM API (Python/FastAPI)","Middleware que orquesta las llamadas a la API de Gemini y Claude.","Conexión estable; Manejo de errores mockeados.","5 SP","Alta","SP-001","EP-001","Listo","Fase 1: MVP Core","2026-05-08","2026-05-12","jmenesess1@upao.edu.pe"
"SP-002","Spike","Investigación flujo multi-agente","Evaluar LangChain/LangGraph vs Autogen.","Informe comparativo; PoC funcional; Diagrama de secuencia.","5 SP","Alta","","EP-001","Listo","Fase 1: MVP Core","2026-05-05","2026-05-08","jmenesess1@upao.edu.pe"
"SP-001","Spike","Modelado de prompts académicos","Definir system prompt para que el Agente Planificador genere tareas técnicas.","System prompt documentado; JSON schema definido; 3 iteraciones de prueba.","3 SP","Crítica","","EP-001","Listo","Fase 1: MVP Core","2026-05-02","2026-05-05","jmenesess1@upao.edu.pe"
